stu_id,epoch,loss,accuracy
0,1,3.5739247798919678,0.5
0,2,3.039529800415039,0.6111111044883728
0,3,2.566997528076172,0.7222222089767456
0,4,2.7932240962982178,0.6666666865348816
0,5,2.7519872188568115,0.6666666865348816
0,6,2.8195347785949707,0.5555555820465088
0,7,2.8561718463897705,0.5
0,8,2.7759904861450195,0.2777777910232544
0,9,2.69645357131958,0.5
0,10,2.6546106338500977,0.5555555820465088
0,11,2.6348602771759033,0.6111111044883728
0,12,2.591294288635254,0.6111111044883728
0,13,2.5352563858032227,0.6111111044883728
0,14,2.476790189743042,0.6111111044883728
0,15,2.4236574172973633,0.6111111044883728
0,16,2.3805086612701416,0.6111111044883728
0,17,2.348430633544922,0.7222222089767456
0,18,2.325532913208008,0.8333333134651184
0,19,2.3085477352142334,0.8333333134651184
0,20,2.294412136077881,0.8333333134651184
1,1,2.4198508262634277,0.699999988079071
1,2,2.403041362762451,0.699999988079071
1,3,2.3853964805603027,0.6499999761581421
1,4,2.3665521144866943,0.699999988079071
1,5,2.3485846519470215,0.75
1,6,2.3406171798706055,0.6499999761581421
1,7,2.336247444152832,0.6000000238418579
1,8,2.3266043663024902,0.6000000238418579
1,9,2.312713861465454,0.6499999761581421
1,10,2.2979516983032227,0.6499999761581421
1,11,2.287214994430542,0.75
1,12,2.281710386276245,0.800000011920929
1,13,2.2774531841278076,0.75
1,14,2.2724556922912598,0.699999988079071
1,15,2.2665603160858154,0.800000011920929
1,16,2.2608699798583984,0.800000011920929
1,17,2.257063865661621,0.800000011920929
1,18,2.25492787361145,0.8500000238418579
1,19,2.2538726329803467,0.8999999761581421
1,20,2.260769844055176,0.800000011920929
